IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION
110,HOMICIDE,FIRST DEGREE MURDER
130,HOMICIDE,SECOND DEGREE MURDER
141,HOMICIDE,INVOLUNTARY MANSLAUGHTER
142,HOMICIDE,RECKLESS HOMICIDE
261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN
262,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER FIREARM
263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR
264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON
265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER
266,CRIM SEXUAL ASSAULT,PREDATORY
271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN
272,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER FIREARM
273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR
274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON
275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER
281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED
291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED
312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT
313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON
031A,ROBBERY,ARMED: HANDGUN
031B,ROBBERY,ARMED: OTHER FIREARM
320,ROBBERY,STRONGARM - NO WEAPON
325,ROBBERY,VEHICULAR HIJACKING
326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING
330,ROBBERY,AGGRAVATED
331,ROBBERY,ATTEMPT: AGGRAVATED
334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR
337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP
033A,ROBBERY,ATTEMPT: ARMED-HANDGUN
033B,ROBBERY,ATTEMPT: ARMED-OTHER FIREARM
340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON
041A,BATTERY,AGGRAVATED: HANDGUN
041B,BATTERY,AGGRAVATED: OTHER FIREARM
420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR
430,BATTERY,AGGRAVATED: OTHER DANG WEAPON
440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY
450,BATTERY,AGGRAVATED PO: HANDGUN
451,BATTERY,AGGRAVATED PO: OTHER FIREARM
452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR
453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP
454,BATTERY,AGG PO HANDS NO/MIN INJURY
460,BATTERY,SIMPLE
461,BATTERY,AGG PO HANDS ETC SERIOUS INJ
